,glucose_g/L,u_h-1,dt_min,yield_maxOD
0,0.0,0.4185156420108013,99.37222569216031,0.026666666666666634
1,1e-05,0.34575412067094446,120.28441122521565,0.015333333333333301
2,0.0001,0.32362916852088447,128.50767136866682,0.015999999999999934
3,0.001,0.28943509125099154,143.68966338477537,0.018333333333333302
4,0.0025,0.30019744370357504,138.53825775632825,0.017333333333333267
5,0.005,0.358911043059261,115.87503822424836,0.018
6,0.0075,0.3009631588728481,138.18578655724207,0.022333333333333334
7,0.01,0.42854660068743594,97.04622733416541,0.029333333333333267
8,0.025,0.29781579360835236,139.64615620180575,0.018333333333333268
9,0.05,0.3927863575066446,105.88155631880157,0.017666666666666667
10,0.075,0.3775322888686228,110.15966596719146,0.019999999999999934
11,0.1,0.4893620794586438,84.98580617362978,0.026666666666666634
12,0.25,0.47200997079180596,88.1100684458649,0.035999999999999935
13,0.5,0.5141549673685587,80.88773516367651,0.05766666666666661
14,0.75,0.5092329943189714,81.66955263614844,0.09666666666666664
15,1.0,0.497863115357777,83.53466957219744,0.08266666666666662
16,2.5,0.5181987729683097,80.25652124834357,0.0856666666666666
17,5.0,0.5010039120856962,83.01099019458952,0.09433333333333327
18,7.5,0.46432998072355164,89.5674037002523,0.09899999999999994
19,10.0,0.43444304843015225,95.72907423395722,0.10566666666666659
