reaction;f0
5FTHFabc;0.03050597368140414
ACt;1e-10
ADNabc;0.4081443347722266
CO2t;0.00010775256148533318
COAabc;0.0056875771471755834
DADNabc;0.02270143368402871
DCYTabc;0.012880448660148478
DGSNabc;0.012534833986755459
FAt;0.0068116300568043
FORt;1e-10
GLCpts;5.975611790763109
GLYCt;0.0026490688782749685
GSNabc;0.4817655090327987
H2Ot;0.72
Ht;0.003992866865180744
LIPTA;0.0027323643554772567
NACabc;0.010673180058965896
NH3t;0.0009886068660069287
O2t;0.5262383638348832
PIabc;1.5407980565728
PYRt2r;2.8850296323749895
THMDabc;0.022661850965776213
URAt2;0.116406700442617
trdoxt;0.0018016441730096004
AAabc;1.024240849103903
5FTHFPGS;0.03993655995360475
ACKr;0.008578010480659353
ACPPAT;0.09226784381095983
ACPS;0.022757585358945242
ACP_transl;37.42040366160494
ADK1;4.5249280166428925
ADPT;0.2640547496786863
AGPAT;0.09415873526190983
APG3PAT;0.005558648907560217
BPNT;1e-10
CLPNS;0.0009600360735357155
CTPS2;0.555392537264553
CYTK1;0.6370168841095103
CYTK2;0.008321049009815663
DADK;0.019200894951585636
DADNK;0.019466868173075354
DAGGALT;0.0013797513499653313
DAGPST;0.0009252765396549273
DASYN;0.00518926822436895
DCYTK;0.009674534610886463
DGK1;0.008414061248771554
DGSNK;0.009651336839883548
DNAP;0.05987467100664342
ENO;6.003501245722458
FAKr;0.0169975000466562
FBA;5.574178374807457
FMETTRS;0.5081180108532366
FTHFCL;0.026246931534025453
GALU;0.01235876176873192
GAPD;30.39952204486542
GHMT;0.013774462605412945
GK1;1.4694089171003093
GLYK;0.011681393838762967
GUAPRT;0.31620704435828534
MTHFC;0.015557239834601262
MTHFD;0.0018779610675536732
NADK;0.0028346100688702736
NADS;0.0060901760414344515
NCTPPRT;0.00468193457740573
NNATr;0.005451118219367404
NOX;22.34190335528997
PAPA;0.0019103546017236594
PDH_E1;1.37938324161741
PDH_E2;1.3949609540719017
PDH_E3;1.3907720637048078
PFK;12.628204258224518
PGI;4.462423561857462
PGK;21.34845596370226
PGK3;1.192277969228049
PGM;6.0044021466233595
PGMT;0.005216218015228139
PGPP;0.0020998718574227267
PGSA;0.004109631934053176
PPA;1.886801568641838
PPM;0.25229248982618185
PRPPS;1.5577033131325888
PSSYN;0.006059312044034579
PTAr;0.019640143305287645
PUNP1;0.1868087102193381
PUNP3;0.22591209742976434
PYK;7.468999682292278
PYK2;1.1341675552938575
PYK4;0.43625081276947947
PYK5;0.011978481468344895
PYK6;0.004600172681407628
PYK7;0.004373351093222679
PYK8;0.011810157336397006
PdhC_transl;0.6811696486422782
RPE;0.1572151411608331
RPI;0.1563142402599322
TALA;0.157791715313816
TKT1;0.15636542389428573
TKT2;0.14934433816492543
TMDK1;0.01935483413816055
TMPK;0.01906271061538476
TPI;2.7861882865028273
TRDR;0.0009587937396523635
UDPG4E;0.008532981897095117
UDPGALM;0.007632080996194217
UMPK;1.642456837048953
UPPRT;0.5076788891581168
dUTPase_transl;0.17075854832581375
rRNAP;2.9707386749885876
rRNA_degrad;1.3725872092251532
tRNAP;1.3329509983886896
AATRS;37.8700718208844
Ribosome;0.6344265034085292
