condition;mu;density;rxn1;rxn2;rxn3;rxn4;Ribosome
1;0.04204609643751147;1.0;0.39848596753663035;0.6015140324633697;0.1932765433476935;0.2512932167152874;0.04861851404710317
1;0.036123563150445105;1.0;0.20028971000334694;0.7997102899966531;0.15721507142573793;0.18877863129212177;0.04138340231440779
1;0.1868030299850289;1.0;0.30703305990065843;0.6929669400993416;0.2816046710930989;0.3269879958084116;0.2274520169092363
1;0.04196950896868718;1.0;0.9029758794344791;0.09702412056552091;0.4042232833747148;0.02095783313541004;0.048440189007626526
1;0.26811103215629184;1.0;0.17547426209929473;0.8245257379007053;0.1023390471317756;0.41349280393035975;0.3310363222348565
1;0.36121660510151593;1.0;0.6814243688524375;0.31857563114756254;0.6354944533317798;0.06356357467787126;0.6927750400027091
1;0.43853855215922777;1.0;0.730591444926059;0.269408555073941;0.688562537156629;0.07939267820217662;0.5816465796230539
1;0.505868110001053;1.0;0.46799041523881635;0.5320095847611837;0.39398120077126225;0.43932125480470424;0.6898865425755721
1;0.32804010966249403;1.0;0.48019851247703826;0.5198014875229617;0.39424411458670483;0.5111170123415315;0.9017545343321665
1;0.23471507980932585;1.0;0.249035108975996;0.750964891024004;0.051327325968922;0.6568696889283412;0.2912275235902969
1;0.08272337611529361;1.0;0.45682995090867196;0.543170049091328;0.0840673627623573;0.35077880632777164;0.09652729486365107
1;0.3134672767670371;1.0;0.7754511936724175;0.22454880632758248;0.6615214821696626;0.054051418549644493;0.39728055137035395
1;0.22825488520792545;1.0;0.18629623512916793;0.8137037648708321;0.07304983440841352;0.6169390547798926;0.28209638630997247
1;0.06729955083592583;1.0;0.224587269388142;0.775412730611858;0.07906423885179797;0.2630351594751767;0.07760838072044175
1;0.5198006480152499;1.0;0.24182198603126126;0.7581780139687387;0.23614191804659349;0.5611350346765379;0.7438629292687073
1;0.5522853649488435;1.0;0.9272254203590561;0.07277457964094393;0.8730328432054394;0.005719283211435021;0.7748140098557609
1;0.20725924493848732;1.0;0.5595600620431285;0.4404399379568715;0.24017190624654663;0.07978880663680402;0.2500443983236238
1;0.025567829039221005;1.0;0.8222471555285021;0.1777528444714979;0.4260913324133732;0.006704141087147192;0.02941487054669086
1;0.17982394906876406;1.0;0.8879399552632388;0.11206004473676129;0.23341260408023048;0.03187959735356334;0.21527845002469684
1;0.07485372438091335;1.0;0.37284334282093345;0.6271566571790665;0.11365160469395905;0.19408950487969487;0.0862387434598159
1;0.15471609010488419;1.0;0.7469875555185415;0.2530124444814585;0.7067533723863245;0.006462805588691871;0.18873945669356465
1;0.241897056642832;1.0;0.6478528430051999;0.35214715699480015;0.2766290670626303;0.3119097204140205;0.29811736044778137
1;0.22238045232655027;1.0;0.3444654794433163;0.6555345205566837;0.11853883381117111;0.4363815588254317;0.27154846382084136
1;0.1533849703208486;1.0;0.7537523041540126;0.24624769584598738;0.7239464284017344;0.09557604800094313;0.8184154685477074
1;0.20888558105381894;1.0;0.3132491544844688;0.6867508455155312;0.280237195546923;0.4234716898159662;0.25757494290349087
1;0.02379106773458696;1.0;0.3017916035525309;0.6982083964474691;0.2017703897338666;0.25335721147010104;0.027423254984871814
1;0.020571855614819473;1.0;0.15533693490746003;0.84466306509254;0.14310787982234818;0.6519762263083595;0.024471465150009416
1;0.42490366131816937;1.0;0.522449859592452;0.477550140407548;0.443288204810044;0.23859050106262553;0.5599658707470019
1;0.055906851538674286;1.0;0.3329780330659373;0.6670219669340627;0.14972683024749533;0.27728154379737274;0.06476085811906664
1;0.1871506970126453;1.0;0.47529158435838936;0.5247084156416106;0.27711572408758833;0.036694573556616226;0.2234983876180209
1;0.2813585737553133;1.0;0.5904537158542122;0.4095462841457878;0.384784534379159;0.2380333217036469;0.35094438324268756
1;0.34138540513852356;1.0;0.6613628804991969;0.33863711950080305;0.4595492024586802;0.211744652511047;0.4348386802290811
1;0.1040744434426595;1.0;0.7532455840993193;0.24675441590068067;0.7004732522846805;0.10737569338126197;0.12631327375309404
