;rho;x_G;condition;mu;density;consistent;converged;run_time;rxn1_q;Ribosome_q;rxn1_v;Ribosome_v;rxn1_p;Ribosome_p;G_b;Protein_b;G_c;Protein_c
0;340.0;100.0;1;2.497851942483092;1.0;1;1;0.00581;1.0;0.8276232947635545;849.2696604442511;702.8753545195965;105.03683281889516;176.35508740071344;0.1723767052364454;0.8276232947635545;58.60807978039145;281.3919202196085
1;340.0;66.66666666666666;2;2.497014614207097;1.0;1;1;0.0057539999999999;1.0;0.8276873301949093;848.9849688304131;702.6941022268529;105.09595410447596;176.31773816179327;0.1723126698050906;0.8276873301949093;58.586307733730806;281.4136922662692
2;340.0;44.44444444444444;3;2.4957597950623223;1.0;1;1;0.005759;1.0;0.8277832554855075;848.5583303211896;702.4223771426209;105.18456685913463;176.261740005938;0.1722167445144924;0.8277832554855075;58.553693134927435;281.4463068650726
3;340.0;29.629629629629623;4;2.4938802009901804;1.0;1;1;0.0057689999999999;1.0;0.8279268216373002;847.9192683366612;702.0151048389971;105.31733060392672;176.17778875275536;0.1720731783626997;0.8279268216373002;58.50488064331792;281.4951193566821
4;340.0;19.75308641975308;5;2.4910667203134502;1.0;1;1;0.00595;1.0;0.8281414528255903;846.9626849065729;701.4049083675922;105.51612745343016;176.05196650727055;0.1718585471744096;0.8281414528255903;58.43190603929927;281.5680939607007
5;340.0;13.168724279835388;6;2.4868597389734735;1.0;1;1;0.0057939999999999;1.0;0.8284617959222205;845.5323112509811;700.4912170892537;105.81354086794975;175.8634697456053;0.1715382040777794;0.8284617959222205;58.322989386445;281.677010613555
6;340.0;8.779149519890257;7;2.480578859468877;1.0;1;1;0.005876;1.0;0.8289387343768533;843.396812219418;699.1242860986372;106.2579114178956;175.58125827023457;0.1710612656231466;0.8289387343768533;58.16083031186984;281.83916968813014
7;340.0;5.852766346593505;8;2.471223467607202;1.0;1;1;0.006346;1.0;0.829646246515452;840.2159789864486;697.0820332284131;106.92056282131897;175.1591609939348;0.1703537534845479;0.829646246515452;57.920276184746314;282.07972381525366
8;340.0;3.901844231062337;9;2.457336544573032;1.0;1;1;0.0062969999999999;1.0;0.8306901521793137;835.494425154831;694.0369911768349;107.90586173892278;174.528790002044;0.1693098478206861;0.8306901521793137;57.565348259033286;282.43465174096673
9;340.0;2.6012294873748907;10;2.4368279025087887;1.0;1;1;0.010415;1.0;0.8322182973159338;828.5214868529883;689.5107410784599;109.36463648607236;173.5895846013452;0.1677817026840661;0.8322182973159338;57.04577891258248;282.9542210874175
10;340.0;1.7341529915832603;11;2.406765774560031;1.0;1;1;0.009471;1.0;0.8344299773090321;818.3003633504105;682.8143536224558;111.51080786442436;172.1953844206466;0.1655700226909678;0.8344299773090321;56.29380771492908;283.70619228507087
11;340.0;1.1561019943888402;12;2.3631761237521327;1.0;1;1;0.009301;1.0;0.8375795389557023;803.4798820757253;672.978309189168;114.6392800984525;170.1377631464863;0.1624204610442977;0.8375795389557023;55.22295675506123;284.77704324493874
12;340.0;0.7707346629258934;13;2.300947933914697;1.0;1;1;0.006786;1.0;0.8419650173207275;782.3222975309972;658.6880067910774;119.13932261847968;167.1287832705677;0.1580349826792724;0.8419650173207275;53.73189411095262;286.2681058890474
13;340.0;0.5138231086172622;14;2.2140328877411823;1.0;1;1;0.0063699999999999;1.0;0.8478898228536556;752.771181832002;638.2670240128731;125.49114851052003;162.79139125972287;0.1521101771463444;0.8478898228536556;51.71746022975712;288.28253977024286
14;340.0;0.3425487390781748;15;2.09621635051309;1.0;1;1;0.006432;1.0;0.8555892551285341;712.7135591744508;609.7900632140747;134.22531542708123;156.67503131662036;0.1444107448714658;0.8555892551285341;49.0996532562984;290.9003467437016
15;340.0;0.2283658260521165;16;1.942713247658928;1.0;1;1;0.005849;1.0;0.8651318030858949;660.5225042040354;571.4390250408478;145.82127018445166;148.32354286475262;0.134868196914105;0.8651318030858949;45.855186950795705;294.1448130492043
16;340.0;0.1522438840347443;17;1.7525212687624274;1.0;1;1;0.0057409999999999;1.0;0.8763346992503379;595.8572313792254;522.1703676568525;160.53670154466812;137.41709620044685;0.123665300749662;0.8763346992503379;42.04620225488511;297.95379774511485
17;340.0;0.1014959226898295;18;1.53075748737177;1.0;1;1;0.0058349999999999;1.0;0.8887490347590306;520.4575457064018;462.5561413796186;178.2066077221699;123.96806409590052;0.1112509652409693;0.8887490347590306;37.82532818192957;302.1746718180704
18;340.0;0.0676639484598863;19;1.2894914983683583;1.0;1;1;0.0057959999999999;1.0;0.9017423960158604;438.4271094452419;395.3483121494604;198.11521808777417;108.47719655761841;0.0982576039841395;0.9017423960158604;33.407585354607434;306.5924146453926
19;340.0;0.0451092989732575;20;1.0457856646967856;1.0;1;1;0.005963;1.0;0.9146456587765082;355.5671259969072;325.2179281967109;219.06043215511912;91.91909182889373;0.0853543412234917;0.9146456587765082;29.020476015987185;310.9795239840128
20;340.0;0.0300728659821717;21;0.8172658638925882;1.0;1;1;0.007255;1.0;0.9268915222354288;277.87039372348;257.5557122225144;239.6361861725277;75.5069313875182;0.0731084777645711;0.9268915222354288;24.856882439954205;315.1431175600458
21;340.0;0.0200485773214478;22;0.6174302295838525;1.0;1;1;0.0080999999999999;1.0;0.9380907820621078;209.92627805850984;196.929906359295;258.6030807632123;60.34778513790442;0.0619092179378921;0.9380907820621078;21.049134098883332;318.9508659011167
22;340.0;0.0133657182142985;23;0.4531009703267316;1.0;1;1;0.006352;1.0;0.9480399608033706;154.05432991108876;146.0496608904981;275.1541517428235;47.17943493032257;0.0519600391966293;0.9480399608033706;17.666413326853995;322.333586673146
23;340.0;0.0089104788095323;24;0.3247227122006072;1.0;1;1;0.006144;1.0;0.956685997035966;110.40572214820644;105.62360837183272;288.97586402715257;36.297374965075925;0.0433140029640338;0.956685997035966;14.726761007771517;325.27323899222847
24;340.0;0.0059403192063549;25;0.2284410641994056;1.0;1;1;0.005976;1.0;0.9640775069710737;77.66996182779792;74.8798631654819;300.145517880801;27.64083448936416;0.0359224930289261;0.9640775069710737;12.213647629834888;327.7863523701651
