;tC;tP;tN;tAce;Resp;Ferm;Nucprod;Aaprod;Replication;Transcription;tRNAcharging;Ribosome
q0;0.564688871541541;0.22156984253774703;0.21374128602071196;1e-10;1e-10;0.2152853040934681;0.31829215161823565;0.42748632217012145;0.05882392083959056;0.19632478954868068;0.2842905689372753;0.2225000000000001
1;0.5939009943564487;0.23908353572920435;0.23257883180881178;0.06556336189446499;1e-10;0.34963596417049597;0.5339052010659328;0.20471570933521865;0.03179029755913727;0.4243595862294143;0.6320570320197823;0.5551091267469196
2;0.5938047543909779;0.2391517070113662;0.23264610361671365;0.06560256501905784;1e-10;0.3498096620293643;0.5342138371129688;0.2047664294167041;0.03175326481027665;0.42471066520954304;0.6327161951336897;0.5558416557144604
3;0.593691248912011;0.239232157627238;0.23272550253452548;0.06564890907377455;1e-10;0.35001474987456976;0.5345797968704301;0.20482634074949288;0.03170904575630483;0.4251274708568817;0.6334993210309854;0.5567125367751438
4;0.5935578083929691;0.23932680337241757;0.23281892455190253;0.06570353631728938;1e-10;0.35025614425275275;0.535012744342273;0.20489690105047131;0.03165629928781247;0.4256213016914155;0.6344279549450506;0.5577460661175602
5;0.5934015381455411;0.23943773703093088;0.23292844397441767;0.06576771915088972;1e-10;0.35053926730405693;0.535523654719705;0.20497972748061596;0.03159345227016886;0.42620507192173096;0.6355268077818726;0.5589701983940528
6;0.5932193482295784;0.23956720174113252;0.2330562869048261;0.06584283687553713;1e-10;0.3508699291487391;0.5361247654458154;0.20507657390026643;0.03151867474073413;0.426893307371327;0.6368238106029498;0.5604166751316094
7;0.5930080288297812;0.23971753882179;0.23320478078902482;0.06593034844059617;1e-10;0.35125417964194616;0.5368295184114552;0.20518930148515704;0.03142985210288953;0.42770213692859205;0.6383501643814207;0.5621211516611576
8;0.5927643864365539;0.23989110185120807;0.2333762725322594;0.06603176082002152;1e-10;0.35169812405890066;0.5376524928007782;0.20531984254757676;0.03132455496698385;0.42864927724614327;0.640140378239292;0.5641233122776794
9;0.5924854213087083;0.24009013819228261;0.23357301466755664;0.06614857416854765;1e-10;0.35220763117586246;0.5386092120413986;0.20547014374670722;0.03120001618129858;0.42975388640148027;0.6422320792003151;0.5664667519011503
